GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.duoc.backend,JWTAuthorizationFilter,91,3,8,0,32,1,8,1,4,1
backend,com.duoc.backend,PatientController,20,62,1,3,7,16,1,6,0,5
backend,com.duoc.backend,TomcatConfig,0,29,1,1,0,8,1,2,0,2
backend,com.duoc.backend,DataInitializer,1,112,2,2,1,17,2,3,0,3
backend,com.duoc.backend,Patient,46,37,0,0,20,14,13,5,13,5
backend,com.duoc.backend,PetController,203,205,42,44,37,55,35,16,1,7
backend,com.duoc.backend,JWTAuthenticationConfig,0,52,0,0,0,17,0,2,0,2
backend,com.duoc.backend,AppointmentController,64,94,5,9,20,18,6,9,1,7
backend,com.duoc.backend,LoginController,0,37,0,2,0,8,0,3,0,2
backend,com.duoc.backend,WebSecurityConfig,0,87,0,0,0,14,0,4,0,4
backend,com.duoc.backend,LoginRequest,11,15,0,0,5,6,3,3,3,3
backend,com.duoc.backend,Constants,3,15,0,0,1,4,1,2,1,2
backend,com.duoc.backend,MyUserDetailsService,0,25,0,2,0,8,0,4,0,3
backend,com.duoc.backend,SecuredController,3,3,0,0,1,1,1,1,1,1
backend,com.duoc.backend,User,25,31,0,0,5,13,5,9,5,9
backend,com.duoc.backend,OpenAPIConfig,0,3,0,0,0,1,0,1,0,1
backend,com.duoc.backend,Pet,16,77,0,0,8,30,4,16,4,16
backend,com.duoc.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.duoc.backend,Appointment,25,38,0,0,11,15,7,7,7,7
