GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seguridadcalidad,com.duoc.seguridadcalidad,PatientController,0,13,0,0,0,6,0,6,0,6
seguridadcalidad,com.duoc.seguridadcalidad,AuthController,0,96,1,1,0,29,1,4,0,4
seguridadcalidad,com.duoc.seguridadcalidad,AuthRequest,0,17,0,0,0,7,0,5,0,5
seguridadcalidad,com.duoc.seguridadcalidad,AuthResponse,0,9,0,0,0,4,0,2,0,2
seguridadcalidad,com.duoc.seguridadcalidad,Appointment,21,45,0,0,8,20,1,13,1,13
seguridadcalidad,com.duoc.seguridadcalidad,PatientRestController,60,138,11,11,11,33,10,8,1,6
seguridadcalidad,com.duoc.seguridadcalidad,PetRestController,14,163,4,8,3,31,4,10,0,8
seguridadcalidad,com.duoc.seguridadcalidad,BackendService,180,631,8,10,49,116,8,18,0,17
seguridadcalidad,com.duoc.seguridadcalidad,Pet,35,71,0,0,18,26,9,13,9,13
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRepository,22,15,2,0,5,3,3,1,2,1
seguridadcalidad,com.duoc.seguridadcalidad,LoginController,0,5,0,0,0,2,0,2,0,2
seguridadcalidad,com.duoc.seguridadcalidad,PetRepository,22,15,2,0,5,3,3,1,2,1
seguridadcalidad,com.duoc.seguridadcalidad,PetController,0,7,0,0,0,3,0,3,0,3
seguridadcalidad,com.duoc.seguridadcalidad,WebSecurityConfig,0,227,0,0,0,37,0,14,0,14
seguridadcalidad,com.duoc.seguridadcalidad,JwtAuthenticationFilter,5,3,0,0,2,1,1,1,1,1
seguridadcalidad,com.duoc.seguridadcalidad,JwtUtil,0,3,0,0,0,1,0,1,0,1
seguridadcalidad,com.duoc.seguridadcalidad,SeguridadcalidadApplication,5,3,0,0,2,1,1,1,1,1
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRestController,0,80,2,6,0,20,2,6,0,4
seguridadcalidad,com.duoc.seguridadcalidad,AppointmentController,0,9,0,0,0,4,0,4,0,4
seguridadcalidad,com.duoc.seguridadcalidad,HomeController,0,17,0,0,0,5,0,3,0,3
